Document,0,1,2,3,4,5,6,7,8,9
0,0.13675999641418457,0.790690004825592,0.0,0.0,0.0,0.0,0.0699400007724762,0.0,0.0,0.0
1,0.8675100207328796,0.0,0.0,0.0,0.03347000107169151,0.0,0.0,0.0,0.0,0.09690000116825104
2,0.4875499904155731,0.0,0.0,0.0,0.5105800032615662,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983100295066833,0.0
4,0.3408699929714203,0.0,0.4377099871635437,0.0,0.0,0.0,0.13231000304222107,0.0,0.0,0.08728999644517899
5,0.0,0.2563999891281128,0.0,0.0,0.0,0.7013900279998779,0.0,0.039340000599622726,0.0,0.0
6,0.0,0.0,0.0,0.0,0.14002999663352966,0.0,0.0,0.8325899839401245,0.0,0.02498999983072281
7,0.0,0.0,0.3746199905872345,0.0,0.0,0.5666000247001648,0.0,0.0551300011575222,0.0,0.0
8,0.9443699717521667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05366000160574913,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955199956893921
10,0.0,0.0,0.0,0.0,0.04142000153660774,0.12407000362873077,0.8330600261688232,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948300123214722
12,0.4594399929046631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367599725723267,0.0
13,0.9967899918556213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.49445998668670654,0.0,0.0,0.0,0.0,0.0,0.5034899711608887,0.0,0.0
15,0.0,0.0,0.0,0.9964699745178223,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.9986699819564819,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.3353399932384491,0.0,0.0,0.0,0.0,0.0,0.6614099740982056,0.0,0.0
18,0.0,0.9943299889564514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963899850845337,0.0
20,0.0,0.9965000152587891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9969800114631653
22,0.0,0.6123200058937073,0.0,0.0,0.0,0.0,0.0,0.38264000415802,0.0,0.0
23,0.0,0.0,0.0,0.7331799864768982,0.0,0.0,0.0,0.26342999935150146,0.0,0.0
24,0.0,0.0,0.9965999722480774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.19095000624656677,0.0,0.34815001487731934,0.0,0.0,0.0,0.45910999178886414,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987199902534485,0.0
27,0.0,0.5908499956130981,0.0,0.0,0.0,0.0,0.0,0.4083000123500824,0.0,0.0
28,0.4933600127696991,0.20344999432563782,0.0,0.0,0.3001300096511841,0.0,0.0,0.0,0.0,0.0
29,0.7234699726104736,0.27390000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.34002000093460083,0.0,0.0,0.6578599810600281,0.0
31,0.0,0.0,0.0,0.2587999999523163,0.0,0.0,0.20031000673770905,0.429390013217926,0.0,0.10871999710798264
32,0.7270600199699402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27063998579978943,0.0
33,0.0,0.0,0.0,0.0,0.09403999894857407,0.0,0.5905399918556213,0.0,0.0,0.3113099932670593
34,0.0,0.5360900163650513,0.0,0.0,0.0,0.0,0.0,0.21724000573158264,0.0,0.24344000220298767
35,0.0,0.0,0.11012999713420868,0.7725399732589722,0.0,0.11307000368833542,0.0,0.0,0.0,0.0
