Document,0,1,2,3,4,5,6,7,8,9
0,0.5414199829101562,0.45159000158309937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9112399816513062,0.02402999997138977,0.0,0.015259999781847,0.0,0.021139999851584435,0.0,0.0,0.011629999615252018,0.0
2,0.8651999831199646,0.0,0.0,0.03156000003218651,0.0,0.025049999356269836,0.0,0.0,0.03888000175356865,0.016459999606013298
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952800273895264,0.0
4,0.8296300172805786,0.031279999762773514,0.0,0.046140000224113464,0.06977999955415726,0.0,0.0,0.0,0.0,0.01971999928355217
5,0.3958199918270111,0.23928000032901764,0.0,0.0807500034570694,0.015879999846220016,0.03077000007033348,0.0,0.21025000512599945,0.0,0.015159999951720238
6,0.021959999576210976,0.0,0.0,0.0,0.041349999606609344,0.0,0.014109999872744083,0.8966000080108643,0.0,0.0215000007301569
7,0.23993000388145447,0.3340499997138977,0.0,0.012679999694228172,0.018689999356865883,0.0,0.0,0.06846000254154205,0.043859999626874924,0.2796800136566162
8,0.9664199948310852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028620000928640366,0.0
9,0.1710900068283081,0.17091000080108643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6501799821853638
10,0.18584999442100525,0.0,0.0,0.0,0.8101000189781189,0.0,0.0,0.0,0.0,0.0
11,0.2888199985027313,0.5539299845695496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14823000133037567
12,0.5753499865531921,0.14057999849319458,0.0522800013422966,0.05747000128030777,0.0,0.059050001204013824,0.0,0.018209999427199364,0.05964000150561333,0.03558000177145004
13,0.9917200207710266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.3560299873352051,0.0,0.052710000425577164,0.0,0.0,0.0,0.5863199830055237,0.0,0.0
15,0.1866600066423416,0.11401999741792679,0.0,0.03271999955177307,0.0,0.0,0.0,0.6170200109481812,0.04569999873638153,0.0
16,0.04317000135779381,0.6751099824905396,0.01489999983459711,0.04397999867796898,0.0,0.06270000338554382,0.013240000233054161,0.019360000267624855,0.12105999886989594,0.0
17,0.0,0.6407999992370605,0.04473999887704849,0.0,0.0,0.029170000925660133,0.0,0.2690199911594391,0.010300000198185444,0.0
18,0.0,0.9849500060081482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.08922000229358673,0.05500999838113785,0.0,0.0,0.0,0.0,0.0,0.030479999259114265,0.8203200101852417,0.0
20,0.0,0.9726300239562988,0.0,0.0,0.0,0.0,0.018689999356865883,0.0,0.0,0.0
21,0.0,0.3702299892902374,0.0,0.029529999941587448,0.0,0.0,0.0266100000590086,0.0,0.0844699963927269,0.484279990196228
22,0.0,0.9713799953460693,0.0,0.0,0.014689999632537365,0.0,0.0,0.0,0.0,0.0
23,0.0,0.10033000260591507,0.0,0.029069999232888222,0.2211800068616867,0.02206999994814396,0.0,0.6111699938774109,0.0,0.010660000145435333
24,0.07953000068664551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9046900272369385,0.0
25,0.6916300058364868,0.016780000180006027,0.0,0.010499999858438969,0.043540000915527344,0.0,0.19652999937534332,0.0,0.024219999089837074,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963899850845337,0.0
27,0.0,0.7292299866676331,0.020020000636577606,0.026639999821782112,0.018530000001192093,0.05463999882340431,0.0,0.09010999649763107,0.0,0.03962000086903572
28,0.8624100089073181,0.11473999917507172,0.0,0.0,0.0154600003734231,0.0,0.0,0.0,0.0,0.0
29,0.7770500183105469,0.21661999821662903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.09674999862909317,0.043389998376369476,0.030629999935626984,0.0,0.016669999808073044,0.017230000346899033,0.0,0.07373999804258347,0.6606699824333191,0.052650000900030136
31,0.27744001150131226,0.4393100142478943,0.022190000861883163,0.0833899974822998,0.019610000774264336,0.035420000553131104,0.04560000076889992,0.034630000591278076,0.02198999933898449,0.020409999415278435
32,0.8409500122070312,0.031109999865293503,0.0,0.0,0.0,0.03440999984741211,0.0,0.0,0.06823000311851501,0.02215000055730343
33,0.700410008430481,0.11428999900817871,0.0,0.0,0.038989998400211334,0.0,0.0,0.022929999977350235,0.06346999853849411,0.055709999054670334
34,0.10283000022172928,0.6534799933433533,0.0,0.030160000547766685,0.0,0.06013000011444092,0.013260000385344028,0.1356399953365326,0.0,0.0
35,0.023250000551342964,0.5852500200271606,0.0,0.04884999990463257,0.0,0.0,0.0,0.0,0.08034999668598175,0.2563999891281128
36,0.0,0.16122999787330627,0.0,0.0,0.07506000250577927,0.02404000051319599,0.0,0.7340099811553955,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9876300096511841,0.0,0.0
38,0.020010000094771385,0.0,0.0,0.039159998297691345,0.0261400006711483,0.03480999916791916,0.0,0.8750399947166443,0.0,0.0
39,0.047609999775886536,0.0,0.0,0.0,0.01534000039100647,0.0,0.0,0.14455999433994293,0.7892000079154968,0.0
40,0.6666200160980225,0.11474999785423279,0.023900000378489494,0.0,0.0,0.023520000278949738,0.016039999201893806,0.0,0.1350100040435791,0.017720000818371773
41,0.0,0.1402300000190735,0.0378899984061718,0.0,0.0,0.03133000060915947,0.0,0.7076299786567688,0.05683999881148338,0.017240000888705254
42,0.2862200140953064,0.044029999524354935,0.0,0.0,0.0,0.06274999678134918,0.0,0.5804200172424316,0.022520000115036964,0.0
43,0.0835999995470047,0.15199999511241913,0.02566000074148178,0.035930000245571136,0.02930999919772148,0.018470000475645065,0.011479999870061874,0.04608999937772751,0.5172200202941895,0.08023999631404877
44,0.04170000180602074,0.4758400022983551,0.025679999962449074,0.07294999808073044,0.0,0.07896000146865845,0.09752999991178513,0.05262000113725662,0.06955999881029129,0.07693000137805939
45,0.24406999349594116,0.24235999584197998,0.0,0.03398999944329262,0.029160000383853912,0.023989999666810036,0.0,0.0,0.3893299996852875,0.034540001302957535
46,0.4819999933242798,0.0,0.02507000043988228,0.0,0.0,0.0,0.010649999603629112,0.0,0.4635300040245056,0.0
47,0.08367999643087387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8276200294494629,0.08341000229120255
48,0.14560000598430634,0.4521999955177307,0.0,0.026559999212622643,0.0,0.0,0.0,0.0,0.3571400046348572,0.0
49,0.8963199853897095,0.01916000060737133,0.0,0.0,0.0,0.0,0.0,0.07690999656915665,0.0,0.0
50,0.0,0.0,0.07662999629974365,0.0,0.021290000528097153,0.0,0.0,0.0,0.8174999952316284,0.07308000326156616
51,0.08438000082969666,0.039420001208782196,0.0,0.0,0.0,0.0,0.0,0.867609977722168,0.0,0.0
52,0.6279500126838684,0.1004600003361702,0.0,0.0,0.059769999235868454,0.0,0.014499999582767487,0.0,0.0,0.19133000075817108
53,0.0,0.694320023059845,0.0,0.04213999956846237,0.010420000180602074,0.0,0.0,0.24653999507427216,0.0,0.0
54,0.5254899859428406,0.12519000470638275,0.017260000109672546,0.12075000256299973,0.019120000302791595,0.0,0.0,0.16843000054359436,0.0,0.011939999647438526
55,0.05962999910116196,0.838379979133606,0.013729999773204327,0.0,0.0,0.0,0.0,0.0,0.05437999963760376,0.0
56,0.9069600105285645,0.022369999438524246,0.0,0.0,0.0,0.011869999580085278,0.0,0.04495000094175339,0.0,0.0
57,0.8714100122451782,0.0,0.0,0.04769999906420708,0.0,0.015799999237060547,0.0,0.0,0.04972999915480614,0.010329999960958958
