Topic 0,"weapon: 0.04602, fire: 0.04063, koresh: 0.02573, police: 0.02018, batf: 0.01766, compound: 0.01741, agent: 0.01654, firearm: 0.01277, children: 0.01228, tank: 0.01221"
Topic 1,"forgot: 0.02602, knife: 0.02248, pocket: 0.01312, coat: 0.01232, trademark: 0.01228, metropolitan: 0.01174, hunting: 0.01124, stamp: 0.01056, ieee: 0.0095, compaq: 0.00837"
Topic 2,"surveillance: 0.01676, instruction: 0.0133, intelligence: 0.01309, bullock: 0.0125, francisco: 0.01124, african: 0.01086, wednesday: 0.01082, amateur: 0.01035, gold: 0.01012, police: 0.00971"
Topic 3,"detector: 0.03452, radar: 0.03187, formula: 0.02035, meter: 0.01846, moncton: 0.01652, baud: 0.01375, gazan: 0.01207, contribution: 0.01037, canadien: 0.00985, echl: 0.00951"
Topic 4,"typing: 0.0187, expose: 0.01673, seizure: 0.01423, pulse: 0.01299, reservation: 0.01002, needle: 0.01001, additive: 0.0093, wavefunction: 0.0084, boogie: 0.00835, moto: 0.00802"
Topic 5,"state: 0.06949, government: 0.06377, right: 0.0574, private: 0.02485, american: 0.02171, unit: 0.01841, citizen: 0.01782, insurance: 0.01644, court: 0.01598, amendment: 0.01547"
Topic 6,"military: 0.05253, technology: 0.03973, attack: 0.03807, maria: 0.02478, civilian: 0.02257, terrorist: 0.02121, zone: 0.01688, sector: 0.01404, applicant: 0.01349, ship: 0.01304"
Topic 7,"file: 0.04425, version: 0.02216, software: 0.0221, avail: 0.02178, data: 0.01827, system: 0.01689, graphic: 0.01564, program: 0.01331, user: 0.01184, source: 0.01183"
Topic 8,"back: 0.0167, time: 0.01198, right: 0.01078, year: 0.01063, like: 0.01012, first: 0.00893, look: 0.00865, around: 0.00795, start: 0.00795, turn: 0.00767"
Topic 9,"window: 0.09651, driver: 0.06307, video: 0.05155, monitor: 0.05107, card: 0.04456, screen: 0.03308, color: 0.03164, mouse: 0.03047, microsoft: 0.02757, graphic: 0.01635"
Topic 10,"pain: 0.05427, frank: 0.02311, abortion: 0.02039, easter: 0.0182, ignore: 0.01696, landing: 0.01466, headache: 0.01421, substance: 0.01377, skin: 0.01239, western: 0.01167"
Topic 11,"phone: 0.14124, keyboard: 0.04351, nist: 0.0322, number: 0.02376, cellular: 0.01949, interrupt: 0.01737, packet: 0.01715, ncsl: 0.01655, indiana: 0.01627, telnet: 0.01542"
Topic 12,"iraq: 0.01611, iraqi: 0.01225, kuwait: 0.01175, denver: 0.01166, latch: 0.01146, grade: 0.01125, temporary: 0.01124, segment: 0.01067, adirondack: 0.01064, lyme: 0.00998"
Topic 13,"cros: 0.04383, interior: 0.02112, colorado: 0.02023, delivery: 0.01617, chunk: 0.01582, malaria: 0.0128, randy: 0.01224, jacket: 0.01086, beach: 0.01064, disappoint: 0.00928"
Topic 14,"rider: 0.02084, scope: 0.01459, ottawa: 0.01394, kermit: 0.01202, activist: 0.01092, margin: 0.01013, thin: 0.01011, ciphertext: 0.00979, thug: 0.00931, neil: 0.00842"
